dynasty,period,book_name,author,full_book_info,total_chars,file_count,unique_variants_found
元,元代,夷白齋稿,元,夷白齋稿 (元),1494580,430,10
元,元代,子淵詩集,元,子淵詩集 (元),237900,70,10
元,元代,字鑑,李文仲,字鑑 (李文仲),407530,60,10
元,元代,存復齋文集,元,存復齋文集 (元),628090,110,10
元,元代,存悔齋稿,元,存悔齋稿 (元),147160,30,10
元,元代,孝經大義,元,孝經大義 (元),168720,20,10
元,元代,孝經定本,元,孝經定本 (元),129380,20,10
元,元代,孫不二元君傳述丹道祕書三卷,,孫不二元君傳述丹道祕書三卷,21340,10,10
元,元代,孫不二元君法語,,孫不二元君法語,8190,10,10
元,元代,學易記,元,學易記 (元),1699380,100,10
元,元代,學言稿,元,學言稿 (元),313510,70,10
元,元代,安南志略,元,安南志略 (元),677480,210,10
元,元代,安雅堂集,元,安雅堂集 (元),872790,120,10
元,元代,宋史,托克托,宋史 (托克托),40165400,4970,10
元,元代,宋史全文,元,宋史全文 (元),11050120,370,10
元,元代,宋季三朝政要,元,宋季三朝政要 (元),383300,70,10
元,元代,定宇集,元,定宇集 (元),1750190,190,10
元,元代,宛陵羣英集,元,宛陵羣英集 (元),549120,130,10
元,元代,密跡力士大權神王經偈頌,管主八,密跡力士大權神王經偈頌 (管主八),84210,10,10
元,元代,小亨集,元,小亨集 (元),305000,70,10
元,元代,尚書句解,元,尚書句解 (元),1294100,140,10
元,元代,尚書纂傳,元,尚書纂傳 (元),3066680,480,10
元,元代,尚書通考,元,尚書通考 (元),1071750,110,10
元,元代,局方發揮,元,局方發揮 (元),130140,20,10
元,元代,居竹軒詩集,元,居竹軒詩集 (元),375310,60,10
元,元代,屏巖小稿,元,屏巖小稿 (元),205450,20,10
元,元代,山居新話,元,山居新話 (元),195920,60,10
元,元代,山房隨筆,元,山房隨筆 (元),61430,20,10
元,元代,山村遺集,元,山村遺集 (元),116220,30,10
元,元代,山窗餘稿,元,山窗餘稿 (元),162080,20,10
元,元代,島夷誌略,元,島夷誌略 (元),176740,10,10
元,元代,嵗華紀麗譜,費著,嵗華紀麗譜 (費著),46670,10,10
元,元代,巴西集,元,巴西集 (元),445910,30,10
元,元代,師山集,鄭玉,師山集 (鄭玉),737920,140,10
元,元代,平宋錄,元,平宋錄 (元),152430,40,10
元,元代,平江記事,元,平江記事 (元),63360,20,10
元,元代,幻住庵清規,明本,幻住庵清規 (明本),281440,10,10
元,元代,幼真先生服內元氣訣,,幼真先生服內元氣訣,43260,10,10
元,元代,庶齋老學叢談,元,庶齋老學叢談 (元),258210,30,10
元,元代,庸菴集,元,庸菴集 (元),516550,150,10
元,元代,廟學典禮,元,廟學典禮 (元),552500,70,10
元,元代,廬山蓮宗寶鑑,普度,廬山蓮宗寶鑑 (普度),762160,100,10
元,元代,延祐四明志,元,延祐四明志 (元),1901750,210,10
元,元代,弁山小隱吟錄,元,弁山小隱吟錄 (元),290650,30,10
元,元代,張光弼詩集,元,張光弼詩集 (元),574190,90,10
元,元代,彰所知論,發合思巴,彰所知論 (發合思巴),200560,20,10
元,元代,待制集,元,待制集 (元),2240530,220,10
元,元代,律呂成書,劉瑾,律呂成書 (劉瑾),607130,60,10
元,元代,律苑事規,省悟,律苑事規 (省悟),640520,100,10
元,元代,御批資治通鑑綱目前編,元,御批資治通鑑綱目前編 (元),5004420,220,10
元,元代,復古詩集,元,復古詩集 (元),78170,70,10
元,元代,忠義集,元,忠義集 (元),327630,80,10
元,元代,性情集,元,性情集 (元),199030,70,10
元,元代,惟實集,元,惟實集 (元),440800,90,10
元,元代,所安遺集,元,所安遺集 (元),122990,20,10
元,元代,扁鵲神應鍼灸玉龍經,元,扁鵲神應鍼灸玉龍經 (元),207320,10,10
元,元代,折疑論,子成,折疑論 (子成),461160,50,10
元,元代,敬鄉錄,元,敬鄉錄 (元),935280,150,10
元,元代,敬齊古今黈,李治,敬齊古今黈 (李治),585290,90,10
元,元代,文安集,元,文安集 (元),976590,160,10
元,元代,文忠集,王結,文忠集 (王結),340680,70,10
元,元代,文獻通考,元,文獻通考 (元),38762800,3490,10
元,元代,文獻集,元,文獻集 (元),2694820,110,10
元,元代,文選顏鮑謝詩評,元,文選顏鮑謝詩評 (元),294490,50,10
元,元代,新修科分六學僧傳,曇噩,新修科分六學僧傳 (曇噩),4547620,300,10
元,元代,日損齋筆記,元,日損齋筆記 (元),103150,40,10
元,元代,日聞錄,元,日聞錄 (元),94890,20,10
元,元代,昌國州圖志,元,昌國州圖志 (元),299180,90,10
元,元代,易學濫觴,元,易學濫觴 (元),85000,20,10
元,元代,易學變通,元,易學變通 (元),379930,70,10
元,元代,易源奧義,元,易源奧義 (元),1204310,100,10
元,元代,易精蘊大義,元,易精蘊大義 (元),1141670,120,10
元,元代,易纂言,元,易纂言 (元),2172490,130,10
元,元代,易纂言外翼,元,易纂言外翼 (元),494750,90,10
元,元代,易象圖說,元,易象圖說 (元),302190,60,10
元,元代,易附錄纂註,元,易附錄纂註 (元),2185530,160,10
元,元代,春秋屬辭,元,春秋屬辭 (元),1937510,160,10
元,元代,春秋左氏傳補註,元,春秋左氏傳補註 (元),1062120,110,10
元,元代,春秋師說,元,春秋師說 (元),438670,70,10
元,元代,春秋提綱,元,春秋提綱 (元),604530,110,10
元,元代,春秋會通,元,春秋會通 (元),4839430,250,10
元,元代,春秋本義,元,春秋本義 (元),2847940,310,10
元,元代,春秋纂言,元,春秋纂言 (元),3620300,200,10
元,元代,春秋胡傳附錄纂疏,元,春秋胡傳附錄纂疏 (元),8071060,330,10
元,元代,春秋諸國統紀,元,春秋諸國統紀 (元),319340,80,10
元,元代,春秋讞義,元,春秋讞義 (元),732780,100,10
元,元代,春秋金鎖匙,元,春秋金鎖匙 (元),154250,20,10
元,元代,春秋闕欵,元,春秋闕欵 (元),3781540,470,10
元,元代,春秋集傳,元,春秋集傳 (元),1244020,170,10
元,元代,春秋集傳釋義大成,元,春秋集傳釋義大成 (元),4085600,130,10
元,元代,昭忠錄,元,昭忠錄 (元),182070,10,10
元,元代,晦臺元鏡禪師語錄,道盛,晦臺元鏡禪師語錄 (道盛),146800,10,10
元,元代,書傳輯錄纂註,元,書傳輯錄纂註 (元),3891190,90,10
元,元代,書纂言,元,書纂言 (元),1098660,50,10
元,元代,書義斷法,元,書義斷法 (元),406420,80,10
元,元代,書義矜式,元,書義矜式 (元),821790,70,10
元,元代,書蔡氏傳旁通,元,書蔡氏傳旁通 (元),1160280,70,10
元,元代,書集傳纂疏,元,書集傳纂疏 (元),3146710,70,10
元,元代,曹文貞公詩集,元,曹文貞公詩集 (元),325660,120,10
元,元代,月屋漫稿,元,月屋漫稿 (元),210060,20,10
元,元代,朝野新聲太平樂府,元,朝野新聲太平樂府 (元),922550,110,10
元,元代,杏庭摘槀,元,杏庭摘槀 (元),71420,10,10
元,元代,東南紀聞,元,東南紀聞 (元),129770,40,10
元,元代,東山存稿,元,東山存稿 (元),1307750,90,10
元,元代,東庵集,元,東庵集 (元),181840,50,10
元,元代,東維子集,元,東維子集 (元),2243730,330,10
元,元代,松鄉集,元,松鄉集 (元),629010,110,10
元,元代,松雪齋集,元,松雪齋集 (元),998610,120,10
元,元代,林外野言,元,林外野言 (元),111990,30,10
元,元代,栲栳山人詩集,元,栲栳山人詩集 (元),163310,40,10
元,元代,根本說一切有部出家授近圓羯磨儀範,拔合思巴,根本說一切有部出家授近圓羯磨儀範 (拔合思巴),109760,10,10
元,元代,根本說一切有部苾芻習學略法,拔合思巴,根本說一切有部苾芻習學略法 (拔合思巴),45840,10,10
元,元代,桂隱文集,劉詵,桂隱文集 (劉詵),1205420,90,10
元,元代,桐山老農集,元,桐山老農集 (元),180050,50,10
元,元代,桐江續集,元,桐江續集 (元),2855010,370,10
元,元代,梅花字字香,元,梅花字字香 (元),93550,10,10
元,元代,梅花百詠,元,梅花百詠 (元),129940,30,10
元,元代,梅花道人遺墨,元,梅花道人遺墨 (元),69330,30,10
元,元代,梧溪集,元,梧溪集 (元),1538250,80,10
元,元代,楊仲弘集,元,楊仲弘集 (元),321820,90,10
元,元代,楞嚴經圓通疏,惟則,楞嚴經圓通疏 (惟則),3935870,100,10
元,元代,榘菴集,元,榘菴集 (元),849380,160,10
元,元代,樂郊私語,姚桐壽,樂郊私語 (姚桐壽),71800,10,10
元,元代,樗隱集,元,樗隱集 (元),268030,70,10
元,元代,樵雲獨唱,元,樵雲獨唱 (元),387900,70,10
元,元代,檜亭集,元,檜亭集 (元),282590,110,10
元,元代,正行集,清覺,正行集 (清覺),23400,10,10
元,元代,此事難知,元,此事難知 (元),283580,30,10
元,元代,此山詩集,元,此山詩集 (元),250920,120,10
元,元代,歷代通略,元,歷代通略 (元),740600,60,10
元,元代,歷朝釋氏資鑑,熙仲,歷朝釋氏資鑑 (熙仲),1946550,120,10
